,Reading,,Math,,Writing,,
Wichita State University,430,570,455,590,NA,NA,Kansas
Asbury University,510,630,490,600,NA,NA,Kentucky
Bellarmine University,500,600,490,600,NA,NA,Kentucky
Berea College,540,660,525,625,500,610,Kentucky
Centre College,560,690,580,700,560,670,Kentucky
Eastern Kentucky University,430,555,430,550,410,520,Kentucky
Georgetown College,410,610,460,560,NA,NA,Kentucky
Kentucky Wesleyan College,388,548,435,578,395,503,Kentucky
Morehead State University,430,550,460,570,NA,NA,Kentucky
Murray State University,395,548,440,573,NA,NA,Kentucky
Transylvania University,510,630,510,640,NA,NA,Kentucky
University of Kentucky,490,610,500,630,470,600,Kentucky
University of Louisville,490,620,500,630,NA,NA,Kentucky
Western Kentucky University,440,580,430,590,NA,NA,Kentucky
Centenary College,490,620,500,620,NA,NA,Louisiana
Grambling State,340,460,330,460,NA,NA,Louisiana
LSU,500,610,530,630,NA,NA,Louisiana
Louisiana Tech,450,570,500,650,NA,NA,Louisiana
Loyola University New Orleans,530,650,510,620,NA,NA,Louisiana
McNeese State,470,570,500,610,NA,NA,Louisiana
Nicholls State,440,530,420,520,428,515,Louisiana
Northwestern State,430,558,440,538,NA,NA,Louisiana
Southern University,NA,NA,400,490,NA,NA,Louisiana
Southeastern Louisiana University,NA,NA,NA,NA,NA,NA,Louisiana
Tulane University,630,720,620,710,640,720,Louisiana
UL Lafayette,460,580,460,590,NA,NA,Louisiana
UL Monroe,425,540,440,570,420,545,Louisiana
University of New Orleans,480,648,482,610,NA,NA,Louisiana
Xavier University of Louisiana,430,560,440,550,420,520,Louisiana
Bates College,NA,NA,NA,NA,NA,NA,Maine
Bowdoin College,670,760,670,760,670,760,Maine
Colby College,610,710,630,720,610,710,Maine
College of the Atlantic,NA,NA,NA,NA,NA,NA,Maine
Husson University,410,510,430,530,400,510,Maine
Maine Maritime Academy,460,560,490,590,440,540,Maine
New England School of Communications,NA,NA,NA,NA,NA,NA,Maine
Saint Joseph’s College of Maine,420,510,420,510,432,536,Maine
Thomas College,390,510,400,510,380,480,Maine
Unity College,NA,NA,NA,NA,NA,NA,Maine
University of Maine at Augusta,NA,NA,NA,NA,NA,NA,Maine
University of Maine at Farmington,NA,NA,NA,NA,NA,NA,Maine
University of Maine at Machias,400,510,390,510,380,510,Maine
University of Maine at Orono,470,590,470,600,460,580,Maine
University of New England,470,570,490,590,NA,NA,Maine
University of Southern Maine,440,570,440,560,NA,NA,Maine
Annapolis,560,670,600,700,NA,NA,Maryland
Goucher College,NA,NA,NA,NA,NA,NA,Maryland
Hood College,470,610,470,590,470,590,Maryland
Johns Hopkins University,640,740,660,770,650,750,Maryland
Loyola University Maryland,540,630,540,630,NA,NA,Maryland
McDaniel College,490,610,500,610,NA,NA,Maryland
Maryland Institute College of Art,530,680,510,620,530,660,Maryland
Mount St. Mary's University,510,600,500,600,NA,NA,Maryland
St. John's College,NA,NA,NA,NA,NA,NA,Maryland
St. Mary's College of Maryland,560,680,540,650,550,670,Maryland
Salisbury University,530,610,540,620,530,600,Maryland
Towson University,490,580,500,600,500,590,Maryland
University of Maryland Baltimore County,550,650,580,640,530,640,Maryland
University of Maryland,580,690,610,720,NA,NA,Maryland
Washington College,540,630,530,620,NA,NA,Maryland
Amherst,660,760,660,770,670,770,Massachusetts
Babson,550,640,610,710,580,663,Massachusetts
Boston College,620,710,640,740,640,730,Massachusetts
Brandeis,610,710,620,740,620,710,Massachusetts
Harvard,700,800,710,790,710,800,Massachusetts
Holy Cross,NA,NA,NA,NA,NA,NA,Massachusetts
MIT,670,770,740,800,680,780,Massachusetts
Olin College,700,775,725,790,680,760,Massachusetts
Smith,NA,NA,NA,NA,NA,NA,Massachusetts
Tufts,670,760,680,760,680,760,Massachusetts
Wellesley,650,740,640,740,650,750,Massachusetts
Williams,660,770,650,760,NA,NA,Massachusetts
Albion College,460,620,480,640,490,580,Michigan
Alma College,460,630,450,620,470,590,Michigan
Andrews University,470,590,440,590,470,570,Michigan
Calvin College,520,670,540,690,NA,NA,Michigan
Grand Valley State,480,615,510,620,460,590,Michigan
Hope College,510,660,520,670,NA,NA,Michigan
Kalamazoo College,540,670,520,660,530,650,Michigan
Kettering University,520,650,600,690,NA,NA,Michigan
Michigan State,430,580,540,680,460,580,Michigan
Michigan Tech,550,680,580,690,520,620,Michigan
University of Detroit Mercy,480,610,500,640,480,610,Michigan
University of Michigan,610,700,650,760,620,720,Michigan
University of Michigan Dearborn,510,680,508,598,NA,NA,Michigan
Bethel University,513,658,493,648,NA,NA,Minnesota
Carleton College,670,760,670,760,660,750,Minnesota
College of Saint Benedict,480,640,480,610,490,640,Minnesota
College of St. Scholastica,430,660,500,640,420,640,Minnesota
Concordia College at Moorhead,490,620,490,640,NA,NA,Minnesota
Gustavus Adolphus College,570,700,570,670,NA,NA,Minnesota
Hamline University,510,640,510,650,490,605,Minnesota
Macalester College,630,740,640,730,630,720,Minnesota
Saint John's University,460,590,470,610,460,570,Minnesota
St. Olaf College,580,700,580,700,570,690,Minnesota
University of Minnesota Twin Cities,540,690,620,740,560,670,Minnesota
University of Minnesota Morris,510,650,540,670,560,620,Minnesota
University of St. Thomas,530,660,530,650,NA,NA,Minnesota
Alcorn State University,390,470,400,500,NA,NA,Mississippi
Belhaven University,440,590,470,560,NA,NA,Mississippi
Blue Mountain College,NA,NA,NA,NA,NA,NA,Mississippi
Delta State University,440,540,420,500,NA,NA,Mississippi
Jackson State University,NA,NA,NA,NA,NA,NA,Mississippi
Millsaps College,490,610,520,610,NA,NA,Mississippi
Mississippi College,460,610,470,580,NA,NA,Mississippi
Mississippi State University,470,610,490,620,NA,NA,Mississippi
Mississippi University for Women,430,460,480,630,NA,NA,Mississippi
Mississippi Valley State University,NA,NA,NA,NA,NA,NA,Mississippi
Rust College,NA,NA,NA,NA,NA,NA,Mississippi
Tougaloo College,405,445,390,435,NA,NA,Mississippi
University of Mississippi,480,600,480,600,NA,NA,Mississippi
University of Southern Mississippi,453,580,460,570,NA,NA,Mississippi
William Carey University,400,470,480,600,NA,NA,Mississippi
College of the Ozarks,510,610,440,560,430,530,Missouri
Maryville University,470,590,470,630,NA,NA,Missouri
Missouri University of Science and Technology,520,660,610,700,NA,NA,Missouri
Rockhurst University,490,590,510,640,NA,NA,Missouri
Saint Louis University,530,660,550,670,NA,NA,Missouri
Stephens College,480,590,440,540,450,560,Missouri
Truman State University,550,710,550,650,NA,NA,Missouri
University of Missouri,510,640,530,650,NA,NA,Missouri
Washington University,700,770,720,790,NA,NA,Missouri
Webster University,500,650,490,600,470,590,Missouri
Westminster College,390,550,470,610,420,530,Missouri
William Jewell College,510,610,510,610,NA,NA,Missouri
Carroll College,500,600,500,610,490,590,Montana
Montana State University,500,630,500,640,470,600,Montana
Montana State University-Billings,NA,NA,NA,NA,NA,NA,Montana
Montana State University-Northern,413,498,423,520,360,485,Montana
Montana Tech,480,590,500,630,450,580,Montana
Rocky Mountain College,440,540,450,550,NA,NA,Montana
Salish Kootenai College,NA,NA,NA,NA,NA,NA,Montana
University of Montana,480,600,470,600,460,580,Montana
University of Montana-Western,NA,NA,NA,NA,NA,NA,Montana
University of Great Falls,NA,NA,NA,NA,NA,NA,Montana
Bellevue University,NA,NA,NA,NA,NA,NA,Nebraska
Bryan College of Health Sciences,NA,NA,NA,NA,NA,NA,Nebraska
Chadron State College,NA,NA,NA,NA,NA,NA,Nebraska
Clarkson College,NA,NA,NA,NA,NA,NA,Nebraska
College of Saint Mary,NA,NA,NA,NA,NA,NA,Nebraska
Concordia University-Seward,460,570,490,610,NA,NA,Nebraska
Creighton University,530,630,540,660,520,630,Nebraska
Doane College-Crete,NA,NA,NA,NA,NA,NA,Nebraska
Grace University,500,620,430,560,NA,NA,Nebraska
Hastings College,440,580,490,590,NA,NA,Nebraska
Midland University,NA,NA,NA,NA,NA,NA,Nebraska
Nebraska Methodist College of Nursing,460,461,530,531,520,521,Nebraska
Nebraska Wesleyan University,NA,NA,NA,NA,NA,NA,Nebraska
Peru State College,NA,NA,NA,NA,NA,NA,Nebraska
Union College,430,590,420,550,NA,NA,Nebraska
University of Nebraska at Kearney,470,580,510,610,NA,NA,Nebraska
University of Nebraska at Lincoln,510,660,540,680,NA,NA,Nebraska
University of Nebraska at Omaha,NA,NA,NA,NA,NA,NA,Nebraska
Wayne State College,NA,NA,NA,NA,NA,NA,Nebraska
York College,420,520,380,470,NA,NA,Nebraska
College of Southern Nevada,NA,NA,NA,NA,NA,NA,Nevada
Great Basin College,NA,NA,NA,NA,NA,NA,Nevada
Nevada State College,NA,NA,NA,NA,NA,NA,Nevada
Sierra Nevada College,NA,NA,NA,NA,NA,NA,Nevada
University of Nevada-Las Vegas,440,550,440,560,NA,NA,Nevada
University of Nevada-Reno,470,580,480,600,450,560,Nevada
Western Nevada College,NA,NA,NA,NA,NA,NA,Nevada
Colby-Sawyer College,NA,NA,NA,NA,NA,NA,New Hampshire
Dartmouth College,670,780,680,780,680,790,New Hampshire
Franklin Pierce University,440,530,440,550,420,520,New Hampshire
Granite State College,NA,NA,NA,NA,NA,NA,New Hampshire
Keene State College,440,540,440,540,440,530,New Hampshire
New England College,NA,NA,NA,NA,NA,NA,New Hampshire
Plymouth State University,440,520,440,540,420,520,New Hampshire
Rivier College,420,500,400,520,420,510,New Hampshire
Saint Anselm College,510,600,520,610,510,600,New Hampshire
Southern New Hampshire University,440,540,450,560,440,530,New Hampshire
UNH Durham,490,590,500,610,NA,NA,New Hampshire
UNH Manchester,470,570,470,580,440,550,New Hampshire
Caldwell College,410,500,410,520,410,510,New Jersey
Centenary College,400,500,400,490,NA,NA,New Jersey
College of New Jersey,550,650,580,680,560,670,New Jersey
Drew University,490,620,480,600,490,610,New Jersey
Fairleigh Dickinson - Florham,450,560,460,570,450,560,New Jersey
Fairleigh Dickinson - Metropolitan,440,530,460,560,440,640,New Jersey
Georgian Court University,NA,NA,NA,NA,NA,NA,New Jersey
Kean University,410,500,430,520,NA,NA,New Jersey
Monmouth University,470,560,490,580,490,580,New Jersey
Montclair State University,440,530,460,540,450,540,New Jersey
NJIT,470,600,550,660,470,590,New Jersey
Princeton University,700,790,710,800,710,800,New Jersey
Ramapo College,490,600,510,620,500,600,New Jersey
Richard Stockton College,470,570,500,600,470,570,New Jersey
Rider University,420,500,400,520,420,510,New Jersey
Rowan University,480,590,510,630,480,580,New Jersey
"Rutgers University, Camden",460,560,470,570,460,560,New Jersey
"Rutgers University, New Brunswick",520,630,560,680,540,650,New Jersey
"Rutgers University, Newark",460,550,490,590,470,560,New Jersey
Saint Peter's College,410,510,410,520,410,510,New Jersey
Seton Hall University,490,590,510,610,490,600,New Jersey
Stevens Institute of Technology,570,670,640,720,NA,NA,New Jersey
William Paterson University,450,550,470,550,NA,NA,New Jersey
Eastern New Mexico University,390,525,410,530,NA,NA,New Mexico
Navajo Technical College,NA,NA,NA,NA,NA,NA,New Mexico
New Mexico Highlands University,NA,NA,NA,NA,NA,NA,New Mexico
New Mexico State University,420,560,430,560,420,540,New Mexico
New Mexico Tech,550,670,590,700,NA,NA,New Mexico
Northern New Mexico College,NA,NA,NA,NA,NA,NA,New Mexico
St. John's College,NA,NA,NA,NA,NA,NA,New Mexico
University of New Mexico,470,600,470,590,NA,NA,New Mexico
University of the Southwest,NA,NA,NA,NA,NA,NA,New Mexico
Western New Mexico University,NA,NA,NA,NA,NA,NA,New Mexico
Barnard,630,730,620,710,650,760,New York
Binghamton,600,680,620,710,580,670,New York
Colgate,630,730,640,720,NA,NA,New York
Columbia,700,780,700,790,700,790,New York
Cooper Union,610,720,650,780,620,730,New York
Cornell,640,740,670,780,NA,NA,New York
Hamilton,650,740,650,740,650,740,New York
NYU,620,710,630,740,640,730,New York
RPI,610,700,660,760,590,690,New York
Rochester,600,700,640,740,600,700,New York
SUNY Geneseo,590,690,600,690,NA,NA,New York
Vassar,660,750,650,740,650,750,New York
Appalachian State,520,610,530,620,500,590,North Carolina
Davidson College,620,720,640,720,620,720,North Carolina
Duke University,660,750,690,780,670,770,North Carolina
Elon University,570,660,560,660,570,670,North Carolina
Guilford College,480,620,490,660,460,600,North Carolina
High Point University,497,589,507,609,487,589,North Carolina
Meredith College,450,560,460,560,NA,NA,North Carolina
NC State,530,620,560,660,510,610,North Carolina
Salem College,510,620,490,590,NA,NA,North Carolina
UNC Asheville,540,640,530,620,510,630,North Carolina
UNC Chapel Hill,590,700,610,700,590,690,North Carolina
UNC School of the Arts,510,630,470,600,500,600,North Carolina
UNC Wilmington,540,620,550,630,520,600,North Carolina
Wake Forest,NA,NA,NA,NA,NA,NA,North Carolina
Warren Wilson,500,650,480,590,510,620,North Carolina
Bismarck State College,NA,NA,NA,NA,NA,NA,North Dakota
Dickinson State University,390,525,400,510,370,460,North Dakota
Jamestown College,390,510,420,550,NA,NA,North Dakota
Mayville State University,NA,NA,NA,NA,NA,NA,North Dakota
Minot State University,440,530,450,563,420,500,North Dakota
North Dakota State University,480,610,490,620,NA,NA,North Dakota
Sitting Bull College,NA,NA,NA,NA,NA,NA,North Dakota
Trinity Bible College,NA,NA,NA,NA,NA,NA,North Dakota
University of Mary,410,579,479,678,NA,NA,North Dakota
University of North Dakota,470,585,500,620,460,570,North Dakota
Valley City State University,400,500,400,520,NA,NA,North Dakota
Case Western,600,720,660,760,600,700,Ohio
College of Wooster,540,660,540,660,540,660,Ohio
Denison,600,720,600,680,NA,NA,Ohio
Kenyon,630,730,610,680,630,720,Ohio
Miami University,530,630,550,660,NA,NA,Ohio
Oberlin,640,740,620,720,630,730,Ohio
Ohio Northern,510,620,540,660,505,630,Ohio
Ohio State,540,650,610,710,550,650,Ohio
University of Dayton,510,620,530,640,NA,NA,Ohio
Xavier,500,600,500,600,488,600,Ohio
Bacone College,365,408,460,490,NA,NA,Oklahoma
Cameron University,NA,NA,NA,NA,NA,NA,Oklahoma
East Central University,410,480,470,560,NA,NA,Oklahoma
Langston University,NA,NA,NA,NA,NA,NA,Oklahoma
Mid-America Christian University,NA,NA,NA,NA,NA,NA,Oklahoma
Northeastern State University,NA,NA,NA,NA,NA,NA,Oklahoma
Northwestern Oklahoma State University,440,520,410,520,NA,NA,Oklahoma
Oklahoma Baptist University,480,610,470,490,NA,NA,Oklahoma
Oklahoma Christian University,440,620,470,640,470,600,Oklahoma
Oklahoma City University,490,620,500,620,480,600,Oklahoma
Oklahoma Panhandle State University,340,450,370,500,NA,NA,Oklahoma
Oklahoma State University,490,590,510,620,NA,NA,Oklahoma
Oklahoma State University-Oklahoma City,NA,NA,NA,NA,NA,NA,Oklahoma
Oklahoma Wesleyan University,370,510,430,560,370,480,Oklahoma
Oral Roberts University,463,590,450,580,NA,NA,Oklahoma
Rogers State University,NA,NA,NA,NA,NA,NA,Oklahoma
Saint Gregorys University,NA,NA,NA,NA,NA,NA,Oklahoma
Southeastern Oklahoma State University,NA,NA,NA,NA,NA,NA,Oklahoma
Southern Nazarene University,NA,NA,NA,NA,NA,NA,Oklahoma
Southwestern Christian University,420,575,440,605,410,570,Oklahoma
Southwestern Oklahoma State University,NA,NA,NA,NA,NA,NA,Oklahoma
University of Central Oklahoma,NA,NA,NA,NA,NA,NA,Oklahoma
University of Oklahoma,510,640,540,660,NA,NA,Oklahoma
University of Science and Arts of Oklahoma,NA,NA,410,540,430,520,Oklahoma
University of Tulsa,570,710,590,700,NA,NA,Oklahoma
Concordia University,450,560,460,580,NA,NA,Oregon
Corban University,470,600,460,580,450,570,Oregon
Eastern Oregon University,420,550,410,550,400,520,Oregon
George Fox University,490,630,500,620,470,600,Oregon
Lewis & Clark College,NA,NA,NA,NA,NA,NA,Oregon
Linfield College,480,590,490,600,460,575,Oregon
